ID,Sequence,Fomite
292,1,Frontdesk
292,2,End
293,1,Elevator
293,2,Frontdesk
293,3,End
294,1,Elevator
294,2,End
295,1,Backdoor
295,2,End
296,1,Tabletop
296,2,End
297,1,Elevator
297,2,Frontdesk
297,3,End
298,1,Frontdesk
298,2,End
299,1,Tabletop
299,2,Chairs 
299,3,End
300,1,Frontdesk
300,2,Elevator
300,3,End
301,1,Chairs 
301,2,End
302,1,Chairs 
302,2,End
303,1,Frontdesk
303,2,Chairs 
303,3,End
304,1,Gymdoor
304,2,Frontdesk
304,3,End
305,1,Elevator
305,2,End
306,1,Elevator
306,2,Frontdesk
306,3,End
307,1,Tabletop
307,2,End
308,1,Tabletop
308,2,Fridge 
308,3,Frontdesk
308,4,End
309,1,Tabletop
309,2,End
310,1,Elevator
310,2,End
311,1,Tabletop
311,2,Chairs 
311,3,End
312,1,Elevator
312,2,Backdoor
312,3,End
313,1,Chairs 
313,2,Tabletop
313,3,End
314,1,Elevator
314,2,End
315,1,Chairs 
315,2,End
316,1,Elevator
316,2,End
317,1,Elevator
317,2,End
318,1,Elevator
318,2,End
319,1,Fridge 
319,2,Frontdesk
319,3,Backdoor
319,4,End
320,1,Backdoor
320,2,End
321,1,Chairs 
321,2,End
322,1,Frontdesk
322,2,End
323,1,Elevator
323,2,End
324,1,Frontdesk
324,2,End
